label,rps_target,connections,trial,duration,p50_us,p75_us,p90_us,p99_us,p999_us,mean_us,actual_rps,total_reqs,transfer_kbps,errors,saturated
vanilla,10000,10,1,30s,1370.00,1760.00,2220.00,3960.00,6110.00,1462.00,9998.88,299958,1720.32,0,0
vanilla,10000,50,1,30s,1460.00,1940.00,2380.00,2910.00,3250.00,1549.00,9991.07,299737,1720.32,0,0
vanilla,10000,100,1,30s,1510.00,1900.00,2290.00,2880.00,3270.00,1567.00,9901.92,297080,1699.84,0,0
vanilla,10000,500,1,30s,2980.00,4100.00,5340.00,6920.00,10500.00,3127.00,9725.35,291794,1669.12,0,0
vanilla,10000,1000,1,30s,3030.00,4090.00,5010.00,10460.00,16820.00,3200.00,9660.30,289849,1658.88,0,0
vanilla,10000,10,2,30s,1320.00,1670.00,2050.00,3190.00,4380.00,1377.00,9999.07,299959,1720.32,0,0
vanilla,10000,50,2,30s,1470.00,1920.00,2360.00,2900.00,3280.00,1543.00,9990.65,299726,1720.32,0,0
vanilla,10000,100,2,30s,1400.00,1800.00,2270.00,2940.00,3520.00,1485.00,9980.56,299431,1720.32,0,0
vanilla,10000,500,2,30s,2720.00,3880.00,5320.00,9730.00,12340.00,3066.00,9725.43,291793,1669.12,0,0
vanilla,10000,1000,2,30s,3190.00,4260.00,5240.00,10860.00,13580.00,3395.00,9660.47,289850,1658.88,0,0
vanilla,10000,10,3,30s,1370.00,1730.00,2140.00,3040.00,3920.00,1417.00,9998.92,299964,1720.32,0,0
vanilla,10000,50,3,30s,1440.00,1920.00,2340.00,2890.00,3300.00,1521.00,9990.82,299740,1720.32,0,0
vanilla,10000,100,3,30s,1470.00,1920.00,2390.00,3110.00,3630.00,1556.00,9980.58,299431,1720.32,0,0
vanilla,10000,500,3,30s,2790.00,3800.00,4850.00,6720.00,10340.00,2936.00,9725.50,291789,1669.12,0,0
vanilla,10000,1000,3,30s,3360.00,4660.00,6010.00,9730.00,12910.00,3572.00,9660.56,289847,1658.88,0,0
