label,concurrency,rule_count,avg_agent_cpu,std_agent_cpu,avg_agent_mem,std_agent_mem,avg_node_cpu,std_node_cpu,avg_node_mem,std_node_mem,samples
tetragon,1,1,2.59,11.72,158.3,0.2,0.7,0.3,2727.8,18.9,30
tetragon,1,5,0.40,0.55,188.1,3.5,0.8,0.2,2781.9,15.4,30
tetragon,1,10,0.36,0.54,192.2,3.9,0.8,0.2,2839.1,45.5,30
tetragon,1,50,0.37,0.48,194.9,3.5,1.1,0.2,3122.4,50.6,30
tetragon,1,100,0.33,0.47,155.4,1.3,1.6,0.2,3457.5,49.0,30
tetragon,5,1,1.01,1.86,139.8,26.4,2.5,0.2,2689.4,29.5,9
tetragon,5,5,0.23,0.42,198.6,2.1,2.6,0.2,2759.6,6.6,9
tetragon,5,10,0.34,0.48,203.8,2.0,2.4,0.1,2799.9,9.4,9
tetragon,5,50,0.63,1.33,193.8,14.5,2.3,0.2,3081.0,22.4,27
tetragon,5,100,0.60,1.44,146.0,14.5,2.3,0.1,3402.9,14.9,30
tetragon,10,1,0.51,0.51,102.5,0.0,2.8,0.4,2654.2,9.0,6
tetragon,10,5,1.13,1.82,175.3,9.9,2.5,0.2,2751.2,9.4,9
tetragon,10,10,1.01,2.18,180.0,9.7,2.5,0.2,2782.3,12.4,9
tetragon,10,50,0.41,0.62,130.4,33.6,2.3,0.2,3017.7,29.7,27
tetragon,10,100,0.60,1.28,119.0,9.7,2.3,0.2,3373.6,11.3,30
tetragon,50,1,0.51,0.78,96.9,8.0,2.8,0.1,2579.2,28.8,6
tetragon,50,5,0.45,0.69,144.6,38.7,2.7,0.3,2650.3,50.0,9
tetragon,50,10,0.22,0.42,176.6,0.0,2.5,0.1,2727.0,23.3,9
tetragon,50,50,0.52,0.99,104.9,0.9,2.4,0.2,2956.2,26.2,27
tetragon,50,100,0.63,1.27,111.1,0.3,2.2,0.1,3347.5,22.8,30
tetragon,100,1,0.00,0.00,85.6,0.0,2.9,0.3,2562.8,12.5,6
tetragon,100,5,0.11,0.32,89.8,0.0,2.7,0.3,2593.6,16.0,9
tetragon,100,10,0.56,0.50,95.5,0.0,2.6,0.2,2627.3,14.1,9
tetragon,100,50,0.55,1.16,104.7,0.2,2.3,0.2,2958.0,15.3,27
tetragon,100,100,0.76,1.59,108.1,0.7,2.3,0.1,3340.8,16.4,30
