label,rule_count,trial,ops_sec,latency_us,N
vanilla,10,1,2056.1,486.3661,1000
vanilla,10,2,2026.7,493.4091,1000
vanilla,10,3,2021.6,494.6538,1000
vanilla,50,1,1924.1,519.7273,1000
vanilla,50,2,1976.6,505.9091,1000
vanilla,50,3,2013.9,496.5455,1000
vanilla,100,1,1910.2,523.5000,1000
vanilla,100,2,2022.4,494.4545,1000
vanilla,100,3,2020.6,494.9091,1000
vanilla,500,1,2005.5,498.6364,1000
vanilla,500,2,1974.5,506.4545,1000
vanilla,500,3,2013.9,496.5455,1000
vanilla,1000,1,2009.5,497.6364,1000
vanilla,1000,2,2018.9,495.3182,1000
vanilla,1000,3,2018.7,495.3636,1000
